company,ticker,average_price,average_dividend,average_yield,average_return,return_volatility,dividend_consistency,yield_category
Apple,AAPL,124.13,0.79,1.02,31.01,36.16,90.91,Low Yield
Coca-Cola,KO,54.71,1.66,3.06,5.23,7.49,90.91,Medium Yield
Exxon Mobil,XOM,84.58,3.42,4.39,9.02,34.3,90.91,High Yield
Johnson & Johnson,JNJ,149.63,4.01,2.7,8.28,16.11,90.91,Medium Yield
McDonald's,MCD,220.49,5.08,2.37,10.64,13.41,90.91,Medium Yield
Microsoft,MSFT,231.1,2.2,1.3,27.08,26.56,90.91,Low Yield
PepsiCo,PEP,139.97,4.09,2.93,4.27,11.72,90.91,Medium Yield
Procter & Gamble,PG,125.82,3.26,2.68,6.93,14.34,90.91,Medium Yield
Verizon,VZ,48.97,2.47,5.23,-0.64,11.33,90.91,High Yield
Walmart,WMT,49.54,0.74,1.82,20.36,23.44,90.91,Low Yield
