company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_growth_category,annual_stock_return,return_category,total_return,return_volatility,average_return,dividend_consistency,revenue,net_income,total_assets,profit_margin,roa,dividend_yield_normalized,dividend_growth_normalized,annual_stock_return_normalized,total_return_normalized,return_volatility_normalized,profit_margin_normalized,roa_normalized,eps,payout_ratio
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.93,,First Year,,First Year,,36.16,31.01,90.91,,,,,,0.19230769230769235,,,,1.0000000000000002,,,,
Apple,AAPL,2016,28.95499992370605,0.5575,1.93,9.85,Increased,10.03,Positive,11.96,36.16,31.01,90.91,,,,,,0.19230769230769235,0.6666666666666665,0.40097568652136284,0.37137605480825475,1.0000000000000002,,,,
Apple,AAPL,2017,42.307498931884766,0.615,1.45,10.31,Increased,46.11,Positive,47.56,36.16,31.01,90.91,,,,,,0.13275434243176182,0.698744769874477,0.684868990479188,0.6688110953296016,1.0000000000000002,,,,
Apple,AAPL,2018,39.435001373291016,0.705,1.79,14.63,Increased,-6.79,Negative,-5.0,36.16,31.01,90.91,,,,,,0.17493796526054595,0.9999999999999999,0.2686285309623102,0.22967666471718612,1.0000000000000002,,,,
Apple,AAPL,2019,73.4124984741211,0.76,1.04,7.8,Increased,86.16,Positive,87.2,36.16,31.01,90.91,,,,,,0.08188585607940449,0.5237099023709901,1.0,1.0,1.0000000000000002,,,,
Apple,AAPL,2020,132.69000244140625,0.8075,0.61,6.25,Increased,80.75,Positive,81.36,36.16,31.01,90.91,,,,,,0.028535980148883373,0.41562064156206413,0.9574317412857032,0.9512072854875095,1.0000000000000002,,,,
Apple,AAPL,2021,177.57000732421875,0.865,0.49,7.12,Increased,33.82,Positive,34.31,36.16,31.01,90.91,,,,,,0.013647642679900748,0.4762900976290097,0.5881658667086318,0.5581084468209543,1.0000000000000002,,,,
Apple,AAPL,2022,129.92999267578125,0.91,0.7,5.2,Increased,-26.83,Negative,-26.13,36.16,31.01,90.91,394328000000.0,99803000000.0,352755000000.0,25.309640705199733,28.29244092925685,0.039702233250620354,0.3423988842398884,0.11094499960657803,0.053137271284150744,1.0000000000000002,0.5943559404729671,0.8973458461221065,6.11,14.893617021276595
Apple,AAPL,2023,192.52999877929688,0.95,0.49,4.4,Increased,48.18,Positive,48.67,36.16,31.01,90.91,383285000000.0,96995000000.0,352583000000.0,25.30623426432028,27.50983456377648,0.013647642679900748,0.28661087866108786,0.7011566606341963,0.6780850530537222,1.0000000000000002,0.5942694134874592,0.869520197904916,6.13,15.497553017944535
Apple,AAPL,2024,250.4199981689453,0.99,0.4,4.21,Increased,30.07,Positive,30.47,36.16,31.01,90.91,391035000000.0,93736000000.0,364980000000.0,23.971255769943863,25.682503150857585,0.0024813895781637743,0.2733612273361227,0.558659217877095,0.5260255660456179,1.0000000000000002,0.5603596323040653,0.8045492453100016,6.08,16.282894736842106
Apple,AAPL,2025,271.8599853515625,1.03,0.38,4.04,Increased,8.56,Positive,8.94,36.16,31.01,90.91,416161000000.0,112010000000.0,359241000000.0,26.91506412181824,31.17962593356549,0.0,0.2615062761506276,0.38940908017940046,0.3461442058651517,1.0000000000000002,0.6351352915962671,0.9999999999999999,7.46,13.80697050938338
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.87,,First Year,,First Year,,16.11,8.28,90.91,,,,,,0.30893300248138966,,,,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.73,6.78,Increased,12.16,Positive,14.89,16.11,8.28,90.91,,,,,,0.2915632754342432,0.4525801952580195,0.4177354630576757,0.3958559612331858,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.38,5.4,Increased,21.27,Positive,23.65,16.11,8.28,90.91,,,,,,0.24813895781637718,0.3563458856345886,0.48941694861908885,0.4690450330019217,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.74,6.63,Increased,-7.64,Negative,-4.9,16.11,8.28,90.91,,,,,,0.29280397022332516,0.44211994421199435,0.26194035722716186,0.23051215640404382,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.57,5.93,Increased,13.03,Positive,15.6,16.11,8.28,90.91,,,,,,0.271712158808933,0.39330543933054385,0.4245810055865922,0.40178795220987557,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.53,6.13,Increased,7.89,Positive,10.42,16.11,8.28,90.91,,,,,,0.2667493796526055,0.407252440725244,0.3841372255881659,0.3585094828306459,0.30066271363794916,,,,
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.45,5.28,Increased,8.7,Positive,11.15,16.11,8.28,90.91,,,,,,0.25682382133995046,0.34797768479776847,0.3905106617357778,0.3646085721447072,0.30066271363794916,,,,
