ticker,average_dividend_yield,dividend_consistency,average_stock_return,stock_return_volatility,dividend_growth_volatility,positive_return_percentage
AAPL,1.02,90.91,31.01,36.16,3.39,72.73
JNJ,2.7,90.91,8.28,16.11,0.77,63.64
KO,3.06,90.91,5.23,7.49,1.42,63.64
MCD,2.37,90.91,10.64,13.41,2.68,72.73
MSFT,1.3,90.91,27.08,26.56,1.59,81.82
PEP,2.93,90.91,4.27,11.72,2.38,54.55
PG,2.68,90.91,6.93,14.34,2.15,63.64
VZ,5.23,90.91,-0.64,11.33,0.22,45.45
WMT,1.82,90.91,20.36,23.44,4.02,72.73
XOM,4.39,90.91,9.02,34.3,1.85,54.55
