company,ticker,year,year_end_price,dividend_per_share,dividend_yield
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.93
Apple,AAPL,2016,28.95499992370605,0.5575,1.93
Apple,AAPL,2017,42.307498931884766,0.615,1.45
Apple,AAPL,2018,39.435001373291016,0.705,1.79
Apple,AAPL,2019,73.4124984741211,0.76,1.04
Apple,AAPL,2020,132.69000244140625,0.8075,0.61
Apple,AAPL,2021,177.57000732421875,0.865,0.49
Apple,AAPL,2022,129.92999267578125,0.91,0.7
Apple,AAPL,2023,192.52999877929688,0.95,0.49
Apple,AAPL,2024,250.4199981689453,0.99,0.4
Apple,AAPL,2025,271.8599853515625,1.03,0.38
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.87
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.73
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.38
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.74
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.57
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.53
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.45
Johnson & Johnson,JNJ,2022,176.64999389648438,4.449999999999999,2.52
Johnson & Johnson,JNJ,2023,156.74000549316406,4.699999999999999,3.0
Johnson & Johnson,JNJ,2024,144.6199951171875,4.91,3.4
Johnson & Johnson,JNJ,2025,206.9499969482422,5.140000000000001,2.48
Coca-Cola,KO,2015,42.959999084472656,1.32,3.07
Coca-Cola,KO,2016,41.459999084472656,1.4,3.38
Coca-Cola,KO,2017,45.880001068115234,1.48,3.23
Coca-Cola,KO,2018,47.34999847412109,1.56,3.29
Coca-Cola,KO,2019,55.34999847412109,1.6,2.89
Coca-Cola,KO,2020,54.84000015258789,1.64,2.99
Coca-Cola,KO,2021,59.209999084472656,1.68,2.84
Coca-Cola,KO,2022,63.61000061035156,1.76,2.77
Coca-Cola,KO,2023,58.93000030517578,1.84,3.12
Coca-Cola,KO,2024,62.2599983215332,1.94,3.12
Coca-Cola,KO,2025,69.91000366210938,2.04,2.92
McDonald's,MCD,2015,118.13999938964844,3.44,2.91
McDonald's,MCD,2016,121.72000122070312,3.61,2.97
McDonald's,MCD,2017,172.1199951171875,3.83,2.23
McDonald's,MCD,2018,177.57000732421875,4.19,2.36
McDonald's,MCD,2019,197.6100006103516,4.73,2.39
McDonald's,MCD,2020,214.5800018310547,5.04,2.35
McDonald's,MCD,2021,268.07000732421875,5.25,1.96
McDonald's,MCD,2022,263.5299987792969,5.66,2.15
McDonald's,MCD,2023,296.510009765625,6.23,2.1
McDonald's,MCD,2024,289.8900146484375,6.779999999999999,2.34
McDonald's,MCD,2025,305.6300048828125,7.17,2.35
Microsoft,MSFT,2015,55.47999954223633,1.29,2.33
Microsoft,MSFT,2016,62.13999938964844,1.47,2.37
Microsoft,MSFT,2017,85.54000091552734,1.59,1.86
Microsoft,MSFT,2018,101.56999969482422,1.72,1.69
Microsoft,MSFT,2019,157.6999969482422,1.89,1.2
Microsoft,MSFT,2020,222.4199981689453,2.09,0.94
Microsoft,MSFT,2021,336.32000732421875,2.3000000000000003,0.68
Microsoft,MSFT,2022,239.82000732421875,2.54,1.06
Microsoft,MSFT,2023,376.0400085449219,2.79,0.74
Microsoft,MSFT,2024,421.5,3.08,0.73
Microsoft,MSFT,2025,483.6199951171875,3.4,0.7
PepsiCo,PEP,2015,99.91999816894533,2.764,2.77
PepsiCo,PEP,2016,104.62999725341795,2.962,2.83
PepsiCo,PEP,2017,119.91999816894533,3.168,2.64
PepsiCo,PEP,2018,110.4800033569336,3.5890000000000004,3.25
PepsiCo,PEP,2019,136.6699981689453,3.793,2.78
PepsiCo,PEP,2020,148.3000030517578,4.024,2.71
PepsiCo,PEP,2021,173.7100067138672,4.247999999999999,2.45
PepsiCo,PEP,2022,180.66000366210935,4.525,2.5
PepsiCo,PEP,2023,169.83999633789062,4.944999999999999,2.91
PepsiCo,PEP,2024,152.05999755859375,5.33,3.51
PepsiCo,PEP,2025,143.52000427246094,5.6240000000000006,3.92
Procter & Gamble,PG,2015,79.41000366210938,2.633,3.32
