company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_growth_category,annual_stock_return,return_category,total_return,return_volatility,average_return,dividend_consistency
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.93,,First Year,,First Year,,36.16,31.01,90.91
Apple,AAPL,2016,28.95499992370605,0.5575,1.93,9.85,Increased,10.03,Positive,11.96,36.16,31.01,90.91
Apple,AAPL,2017,42.307498931884766,0.615,1.45,10.31,Increased,46.11,Positive,47.56,36.16,31.01,90.91
Apple,AAPL,2018,39.435001373291016,0.705,1.79,14.63,Increased,-6.79,Negative,-5.0,36.16,31.01,90.91
Apple,AAPL,2019,73.4124984741211,0.76,1.04,7.8,Increased,86.16,Positive,87.2,36.16,31.01,90.91
Apple,AAPL,2020,132.69000244140625,0.8075,0.61,6.25,Increased,80.75,Positive,81.36,36.16,31.01,90.91
Apple,AAPL,2021,177.57000732421875,0.865,0.49,7.12,Increased,33.82,Positive,34.31,36.16,31.01,90.91
Apple,AAPL,2022,129.92999267578125,0.91,0.7,5.2,Increased,-26.83,Negative,-26.13,36.16,31.01,90.91
Apple,AAPL,2023,192.52999877929688,0.95,0.49,4.4,Increased,48.18,Positive,48.67,36.16,31.01,90.91
Apple,AAPL,2024,250.4199981689453,0.99,0.4,4.21,Increased,30.07,Positive,30.47,36.16,31.01,90.91
Apple,AAPL,2025,271.8599853515625,1.03,0.38,4.04,Increased,8.56,Positive,8.94,36.16,31.01,90.91
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.87,,First Year,,First Year,,16.11,8.28,90.91
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.73,6.78,Increased,12.16,Positive,14.89,16.11,8.28,90.91
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.38,5.4,Increased,21.27,Positive,23.65,16.11,8.28,90.91
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.74,6.63,Increased,-7.64,Negative,-4.9,16.11,8.28,90.91
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.57,5.93,Increased,13.03,Positive,15.6,16.11,8.28,90.91
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.53,6.13,Increased,7.89,Positive,10.42,16.11,8.28,90.91
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.45,5.28,Increased,8.7,Positive,11.15,16.11,8.28,90.91
Johnson & Johnson,JNJ,2022,176.64999389648438,4.449999999999999,2.52,6.21,Increased,3.26,Positive,5.78,16.11,8.28,90.91
Johnson & Johnson,JNJ,2023,156.74000549316406,4.699999999999999,3.0,5.62,Increased,-11.27,Negative,-8.27,16.11,8.28,90.91
Johnson & Johnson,JNJ,2024,144.6199951171875,4.91,3.4,4.47,Increased,-7.73,Negative,-4.33,16.11,8.28,90.91
Johnson & Johnson,JNJ,2025,206.9499969482422,5.140000000000001,2.48,4.68,Increased,43.1,Positive,45.58,16.11,8.28,90.91
Coca-Cola,KO,2015,42.959999084472656,1.32,3.07,,First Year,,First Year,,7.49,5.23,90.91
Coca-Cola,KO,2016,41.459999084472656,1.4,3.38,6.06,Increased,-3.49,Negative,-0.11,7.49,5.23,90.91
Coca-Cola,KO,2017,45.880001068115234,1.48,3.23,5.71,Increased,10.66,Positive,13.89,7.49,5.23,90.91
Coca-Cola,KO,2018,47.34999847412109,1.56,3.29,5.41,Increased,3.2,Positive,6.49,7.49,5.23,90.91
Coca-Cola,KO,2019,55.34999847412109,1.6,2.89,2.56,Increased,16.9,Positive,19.79,7.49,5.23,90.91
Coca-Cola,KO,2020,54.84000015258789,1.64,2.99,2.5,Increased,-0.92,Negative,2.07,7.49,5.23,90.91
Coca-Cola,KO,2021,59.209999084472656,1.68,2.84,2.44,Increased,7.97,Positive,10.81,7.49,5.23,90.91
Coca-Cola,KO,2022,63.61000061035156,1.76,2.77,4.76,Increased,7.43,Positive,10.2,7.49,5.23,90.91
Coca-Cola,KO,2023,58.93000030517578,1.84,3.12,4.55,Increased,-7.36,Negative,-4.24,7.49,5.23,90.91
Coca-Cola,KO,2024,62.2599983215332,1.94,3.12,5.43,Increased,5.65,Positive,8.77,7.49,5.23,90.91
Coca-Cola,KO,2025,69.91000366210938,2.04,2.92,5.15,Increased,12.29,Positive,15.21,7.49,5.23,90.91
McDonald's,MCD,2015,118.13999938964844,3.44,2.91,,First Year,,First Year,,13.41,10.64,90.91
McDonald's,MCD,2016,121.72000122070312,3.61,2.97,4.94,Increased,3.03,Positive,6.0,13.41,10.64,90.91
McDonald's,MCD,2017,172.1199951171875,3.83,2.23,6.09,Increased,41.41,Positive,43.64,13.41,10.64,90.91
McDonald's,MCD,2018,177.57000732421875,4.19,2.36,9.4,Increased,3.17,Positive,5.53,13.41,10.64,90.91
McDonald's,MCD,2019,197.6100006103516,4.73,2.39,12.89,Increased,11.29,Positive,13.68,13.41,10.64,90.91
McDonald's,MCD,2020,214.5800018310547,5.04,2.35,6.55,Increased,8.59,Positive,10.94,13.41,10.64,90.91
McDonald's,MCD,2021,268.07000732421875,5.25,1.96,4.17,Increased,24.93,Positive,26.89,13.41,10.64,90.91
McDonald's,MCD,2022,263.5299987792969,5.66,2.15,7.81,Increased,-1.69,Negative,0.46,13.41,10.64,90.91
McDonald's,MCD,2023,296.510009765625,6.23,2.1,10.07,Increased,12.51,Positive,14.61,13.41,10.64,90.91
