company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,price_growth,annual_stock_return,total_return
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.93,,,,
Apple,AAPL,2016,28.95499992370605,0.5575,1.93,9.85,10.03,10.03,11.96
Apple,AAPL,2017,42.307498931884766,0.615,1.45,10.31,46.11,46.11,47.56
Apple,AAPL,2018,39.435001373291016,0.705,1.79,14.63,-6.79,-6.79,-5.0
Apple,AAPL,2019,73.4124984741211,0.76,1.04,7.8,86.16,86.16,87.2
Apple,AAPL,2020,132.69000244140625,0.8075,0.61,6.25,80.75,80.75,81.36
Apple,AAPL,2021,177.57000732421875,0.865,0.49,7.12,33.82,33.82,34.31
Apple,AAPL,2022,129.92999267578125,0.91,0.7,5.2,-26.83,-26.83,-26.13
Apple,AAPL,2023,192.52999877929688,0.95,0.49,4.4,48.18,48.18,48.67
Apple,AAPL,2024,250.4199981689453,0.99,0.4,4.21,30.07,30.07,30.47
Apple,AAPL,2025,271.8599853515625,1.03,0.38,4.04,8.56,8.56,8.94
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.87,,,,
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.73,6.78,12.16,12.16,14.89
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.38,5.4,21.27,21.27,23.65
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.74,6.63,-7.64,-7.64,-4.9
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.57,5.93,13.03,13.03,15.6
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.53,6.13,7.89,7.89,10.42
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.45,5.28,8.7,8.7,11.15
Johnson & Johnson,JNJ,2022,176.64999389648438,4.449999999999999,2.52,6.21,3.26,3.26,5.78
Johnson & Johnson,JNJ,2023,156.74000549316406,4.699999999999999,3.0,5.62,-11.27,-11.27,-8.27
Johnson & Johnson,JNJ,2024,144.6199951171875,4.91,3.4,4.47,-7.73,-7.73,-4.33
Johnson & Johnson,JNJ,2025,206.9499969482422,5.140000000000001,2.48,4.68,43.1,43.1,45.58
Coca-Cola,KO,2015,42.959999084472656,1.32,3.07,,,,
Coca-Cola,KO,2016,41.459999084472656,1.4,3.38,6.06,-3.49,-3.49,-0.11
Coca-Cola,KO,2017,45.880001068115234,1.48,3.23,5.71,10.66,10.66,13.89
Coca-Cola,KO,2018,47.34999847412109,1.56,3.29,5.41,3.2,3.2,6.49
Coca-Cola,KO,2019,55.34999847412109,1.6,2.89,2.56,16.9,16.9,19.79
Coca-Cola,KO,2020,54.84000015258789,1.64,2.99,2.5,-0.92,-0.92,2.07
Coca-Cola,KO,2021,59.209999084472656,1.68,2.84,2.44,7.97,7.97,10.81
Coca-Cola,KO,2022,63.61000061035156,1.76,2.77,4.76,7.43,7.43,10.2
Coca-Cola,KO,2023,58.93000030517578,1.84,3.12,4.55,-7.36,-7.36,-4.24
Coca-Cola,KO,2024,62.2599983215332,1.94,3.12,5.43,5.65,5.65,8.77
Coca-Cola,KO,2025,69.91000366210938,2.04,2.92,5.15,12.29,12.29,15.21
McDonald's,MCD,2015,118.13999938964844,3.44,2.91,,,,
McDonald's,MCD,2016,121.72000122070312,3.61,2.97,4.94,3.03,3.03,6.0
McDonald's,MCD,2017,172.1199951171875,3.83,2.23,6.09,41.41,41.41,43.64
McDonald's,MCD,2018,177.57000732421875,4.19,2.36,9.4,3.17,3.17,5.53
McDonald's,MCD,2019,197.6100006103516,4.73,2.39,12.89,11.29,11.29,13.68
McDonald's,MCD,2020,214.5800018310547,5.04,2.35,6.55,8.59,8.59,10.94
McDonald's,MCD,2021,268.07000732421875,5.25,1.96,4.17,24.93,24.93,26.89
McDonald's,MCD,2022,263.5299987792969,5.66,2.15,7.81,-1.69,-1.69,0.46
