company,ticker,year,year_end_price,dividend_per_share,dividend_yield,dividend_growth,dividend_consistency,annual_stock_return,total_return,return_volatility,revenue,net_income,total_assets,profit_margin,roa
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.93,,90.91,,,36.16,,,,,
Apple,AAPL,2016,28.95499992370605,0.5575,1.93,9.85,90.91,10.03,11.96,36.16,,,,,
Apple,AAPL,2017,42.307498931884766,0.615,1.45,10.31,90.91,46.11,47.56,36.16,,,,,
Apple,AAPL,2018,39.435001373291016,0.705,1.79,14.63,90.91,-6.79,-5.0,36.16,,,,,
Apple,AAPL,2019,73.4124984741211,0.76,1.04,7.8,90.91,86.16,87.2,36.16,,,,,
Apple,AAPL,2020,132.69000244140625,0.8075,0.61,6.25,90.91,80.75,81.36,36.16,,,,,
Apple,AAPL,2021,177.57000732421875,0.865,0.49,7.12,90.91,33.82,34.31,36.16,,,,,
Apple,AAPL,2022,129.92999267578125,0.91,0.7,5.2,90.91,-26.83,-26.13,36.16,394328000000.0,99803000000.0,352755000000.0,25.309640705199733,28.292440929256852
Apple,AAPL,2023,192.52999877929688,0.95,0.49,4.4,90.91,48.18,48.67,36.16,383285000000.0,96995000000.0,352583000000.0,25.30623426432028,27.509834563776476
Apple,AAPL,2024,250.4199981689453,0.99,0.4,4.21,90.91,30.07,30.47,36.16,391035000000.0,93736000000.0,364980000000.0,23.971255769943866,25.682503150857585
Apple,AAPL,2025,271.8599853515625,1.03,0.38,4.04,90.91,8.56,8.94,36.16,416161000000.0,112010000000.0,359241000000.0,26.91506412181824,31.17962593356549
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.87,,90.91,,,16.11,,,,,
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.73,6.78,90.91,12.16,14.89,16.11,,,,,
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.38,5.4,90.91,21.27,23.65,16.11,,,,,
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.74,6.63,90.91,-7.64,-4.9,16.11,,,,,
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.57,5.93,90.91,13.03,15.6,16.11,,,,,
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.53,6.13,90.91,7.89,10.42,16.11,,,,,
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.45,5.28,90.91,8.7,11.15,16.11,,,,,
Johnson & Johnson,JNJ,2022,176.64999389648438,4.449999999999999,2.52,6.21,90.91,3.26,5.78,16.11,79990000000.0,17941000000.0,187378000000.0,22.42905363170396,9.574763312662107
Johnson & Johnson,JNJ,2023,156.74000549316406,4.699999999999999,3.0,5.62,90.91,-11.27,-8.27,16.11,85159000000.0,35153000000.0,167558000000.0,41.27925410115196,20.97960109335275
Johnson & Johnson,JNJ,2024,144.6199951171875,4.91,3.4,4.47,90.91,-7.73,-4.33,16.11,88821000000.0,14066000000.0,180104000000.0,15.836345008500242,7.809932039266202
Johnson & Johnson,JNJ,2025,206.9499969482422,5.140000000000001,2.48,4.68,90.91,43.1,45.58,16.11,94193000000.0,26804000000.0,199210000000.0,28.45646704107524,13.455147833944078
Coca-Cola,KO,2015,42.959999084472656,1.32,3.07,,90.91,,,7.49,,,,,
Coca-Cola,KO,2016,41.459999084472656,1.4,3.38,6.06,90.91,-3.49,-0.11,7.49,,,,,
