dividend_yield,dividend_growth,dividend_consistency,return_volatility,total_return
1.93,9.85,90.91,36.16,11.96
1.45,10.31,90.91,36.16,47.56
1.79,14.63,90.91,36.16,-5.0
1.04,7.8,90.91,36.16,87.2
0.61,6.25,90.91,36.16,81.36
0.49,7.12,90.91,36.16,34.31
0.7,5.2,90.91,36.16,-26.13
0.49,4.4,90.91,36.16,48.67
0.4,4.21,90.91,36.16,30.47
0.38,4.04,90.91,36.16,8.94
2.73,6.78,90.91,16.11,14.89
2.38,5.4,90.91,16.11,23.65
2.74,6.63,90.91,16.11,-4.9
2.57,5.93,90.91,16.11,15.6
2.53,6.13,90.91,16.11,10.42
2.45,5.28,90.91,16.11,11.15
2.52,6.21,90.91,16.11,5.78
3.0,5.62,90.91,16.11,-8.27
3.4,4.47,90.91,16.11,-4.33
2.48,4.68,90.91,16.11,45.58
3.38,6.06,90.91,7.49,-0.11
3.23,5.71,90.91,7.49,13.89
3.29,5.41,90.91,7.49,6.49
2.89,2.56,90.91,7.49,19.79
2.99,2.5,90.91,7.49,2.07
2.84,2.44,90.91,7.49,10.81
2.77,4.76,90.91,7.49,10.2
3.12,4.55,90.91,7.49,-4.24
3.12,5.43,90.91,7.49,8.77
2.92,5.15,90.91,7.49,15.21
2.97,4.94,90.91,13.41,6.0
2.23,6.09,90.91,13.41,43.64
2.36,9.4,90.91,13.41,5.53
2.39,12.89,90.91,13.41,13.68
2.35,6.55,90.91,13.41,10.94
1.96,4.17,90.91,13.41,26.89
2.15,7.81,90.91,13.41,0.46
2.1,10.07,90.91,13.41,14.61
2.34,8.83,90.91,13.41,0.11
2.35,5.75,90.91,13.41,7.78
2.37,13.95,90.91,26.56,14.37
1.86,8.16,90.91,26.56,39.52
1.69,8.18,90.91,26.56,20.43
1.2,9.88,90.91,26.56,56.46
0.94,10.58,90.91,26.56,41.98
0.68,10.05,90.91,26.56,51.89
1.06,10.43,90.91,26.56,-27.63
0.74,9.84,90.91,26.56,57.54
0.73,10.39,90.91,26.56,12.82
0.7,10.39,90.91,26.56,15.44
2.83,7.16,90.91,11.72,7.54
2.64,6.95,90.91,11.72,17.25
3.25,13.29,90.91,11.72,-4.62
2.78,5.68,90.91,11.72,26.49
2.71,6.09,90.91,11.72,11.22
2.45,5.57,90.91,11.72,19.58
2.5,6.52,90.91,11.72,6.5
2.91,9.28,90.91,11.72,-3.08
3.51,7.79,90.91,11.72,-6.96
3.92,5.52,90.91,11.72,-1.7
3.18,1.52,90.91,14.34,9.06
2.98,2.51,90.91,14.34,12.26
3.09,3.69,90.91,14.34,3.13
2.37,4.01,90.91,14.34,38.25
2.24,5.55,90.91,14.34,13.64
2.08,9.04,90.91,14.34,19.65
2.38,6.12,90.91,14.34,-4.97
2.55,3.52,90.91,14.34,-0.76
2.36,6.05,90.91,14.34,16.77
2.92,5.45,90.91,14.34,-11.6
4.26,2.62,90.91,11.33,19.75
4.39,2.24,90.91,11.33,3.55
4.22,2.11,90.91,11.33,10.44
3.95,2.15,90.91,11.33,13.16
4.21,2.02,90.91,11.33,-0.11
4.86,2.06,90.91,11.33,-6.7
6.53,1.94,90.91,11.33,-17.64
6.96,1.98,90.91,11.33,2.65
6.68,1.87,90.91,11.33,12.75
6.69,1.91,90.91,11.33,8.54
2.89,2.04,90.91,23.44,15.65
2.07,2.0,90.91,23.44,44.94
2.23,1.96,90.91,23.44,-3.44
1.78,1.92,90.91,23.44,29.36
1.5,1.89,90.91,23.44,22.8
1.52,1.85,90.91,23.44,1.89
1.58,1.82,90.91,23.44,-0.42
1.45,1.79,90.91,23.44,12.64
0.92,9.47,90.91,23.44,72.85
0.84,12.98,90.91,23.44,24.15
3.3,3.47,90.91,34.3,19.09
3.66,2.68,90.91,34.3,-3.67
4.74,5.56,90.91,34.3,-13.73
4.92,6.19,90.91,34.3,7.25
8.44,1.46,90.91,34.3,-32.49
5.7,0.29,90.91,34.3,54.15
3.22,1.72,90.91,34.3,83.48
3.68,3.66,90.91,34.3,-5.68
3.57,4.35,90.91,34.3,11.16
3.32,4.17,90.91,34.3,15.19
