company,ticker,year,year_end_price,dividend_per_share,dividend_yield
Apple,AAPL,2015,26.315000534057617,0.5075000000000001,1.9285578175960105
Apple,AAPL,2016,28.954999923706055,0.5575,1.925401490136297
Apple,AAPL,2017,42.307498931884766,0.615,1.4536430078037756
Apple,AAPL,2018,39.435001373291016,0.705,1.7877519347000463
Apple,AAPL,2019,73.4124984741211,0.76,1.0352460627231075
Apple,AAPL,2020,132.69000244140625,0.8075,0.6085612971154921
Apple,AAPL,2021,177.57000732421875,0.865,0.48713181523984916
Apple,AAPL,2022,129.92999267578125,0.91,0.7003771656254566
Apple,AAPL,2023,192.52999877929688,0.95,0.4934295985162367
Apple,AAPL,2024,250.4199981689453,0.99,0.39533583868653277
Apple,AAPL,2025,271.8599853515625,1.03,0.3788714983810618
Johnson & Johnson,JNJ,2015,102.72000122070312,2.95,2.8718847010736117
Johnson & Johnson,JNJ,2016,115.20999908447266,3.1500000000000004,2.7341376833884024
Johnson & Johnson,JNJ,2017,139.72000122070312,3.32,2.3761809125349878
Johnson & Johnson,JNJ,2018,129.0500030517578,3.54,2.7431227557431517
Johnson & Johnson,JNJ,2019,145.8699951171875,3.75,2.5707822893853973
Johnson & Johnson,JNJ,2020,157.3800048828125,3.98,2.5289108377926204
Johnson & Johnson,JNJ,2021,171.07000732421875,4.19,2.449289659559635
Johnson & Johnson,JNJ,2022,176.64999389648438,4.449999999999999,2.519105663036517
Johnson & Johnson,JNJ,2023,156.74000549316406,4.699999999999999,2.998596296594478
Johnson & Johnson,JNJ,2024,144.6199951171875,4.91,3.395104526190422
Johnson & Johnson,JNJ,2025,206.9499969482422,5.140000000000001,2.4836917495995445
Coca-Cola,KO,2015,42.959999084472656,1.32,3.0726257638052354
Coca-Cola,KO,2016,41.459999084472656,1.4,3.3767487479861504
Coca-Cola,KO,2017,45.880001068115234,1.48,3.225806376514104
Coca-Cola,KO,2018,47.349998474121094,1.56,3.2946146785043937
Coca-Cola,KO,2019,55.349998474121094,1.6,2.890695653312584
Coca-Cola,KO,2020,54.84000015258789,1.64,2.990517861846885
Coca-Cola,KO,2021,59.209999084472656,1.68,2.8373585981705687
Coca-Cola,KO,2022,63.61000061035156,1.76,2.7668605299676523
Coca-Cola,KO,2023,58.93000030517578,1.84,3.122348532956641
Coca-Cola,KO,2024,62.2599983215332,1.94,3.1159653907813114
Coca-Cola,KO,2025,69.91000366210938,2.04,2.9180373238997017
McDonald's,MCD,2015,118.13999938964844,3.44,2.911799574887603
McDonald's,MCD,2016,121.72000122070312,3.61,2.9658231710451064
McDonald's,MCD,2017,172.1199951171875,3.83,2.225191789827994
McDonald's,MCD,2018,177.57000732421875,4.1899999999999995,2.359632723531755
McDonald's,MCD,2019,197.61000061035156,4.7299999999999995,2.393603555179699
McDonald's,MCD,2020,214.5800018310547,5.04,2.348774329850246
McDonald's,MCD,2021,268.07000732421875,5.25,1.9584436365722775
McDonald's,MCD,2022,263.5299987792969,5.66,2.147763072977578
McDonald's,MCD,2023,296.510009765625,6.23,2.1011095055187097
McDonald's,MCD,2024,289.8900146484375,6.779999999999999,2.3388180542273616
McDonald's,MCD,2025,305.6300048828125,7.17,2.345973852517912
Microsoft,MSFT,2015,55.47999954223633,1.29,2.325162239804881
Microsoft,MSFT,2016,62.13999938964844,1.47,2.365626029029024
Microsoft,MSFT,2017,85.54000091552734,1.59,1.8587794984596278
Microsoft,MSFT,2018,101.56999969482422,1.72,1.6934134145593065
