ticker,year,revenue,net_income,total_assets
AAPL,2025,416161000000.0,112010000000.0,359241000000.0
AAPL,2024,391035000000.0,93736000000.0,364980000000.0
AAPL,2023,383285000000.0,96995000000.0,352583000000.0
AAPL,2022,394328000000.0,99803000000.0,352755000000.0
AAPL,2021,,,
MSFT,2026,331839000000.0,133749000000.0,758376000000.0
MSFT,2025,281724000000.0,101832000000.0,619003000000.0
MSFT,2024,245122000000.0,88136000000.0,512163000000.0
MSFT,2023,211915000000.0,72361000000.0,411976000000.0
KO,2025,47941000000.0,13107000000.0,104816000000.0
KO,2024,47061000000.0,10631000000.0,100549000000.0
KO,2023,45754000000.0,10714000000.0,97703000000.0
KO,2022,43004000000.0,9542000000.0,92763000000.0
KO,2021,,,
PEP,2025,93925000000.0,8240000000.0,107399000000.0
PEP,2024,91854000000.0,9578000000.0,99467000000.0
PEP,2023,91471000000.0,9074000000.0,100495000000.0
PEP,2022,86392000000.0,8910000000.0,92187000000.0
PEP,2021,,,
JNJ,2025,94193000000.0,26804000000.0,199210000000.0
JNJ,2024,88821000000.0,14066000000.0,180104000000.0
JNJ,2023,85159000000.0,35153000000.0,167558000000.0
JNJ,2022,79990000000.0,17941000000.0,187378000000.0
JNJ,2021,,,
PG,2026,87032000000.0,16046000000.0,126521000000.0
PG,2025,84284000000.0,15974000000.0,125231000000.0
PG,2024,84039000000.0,14879000000.0,122370000000.0
PG,2023,82006000000.0,14653000000.0,120829000000.0
MCD,2025,26885000000.0,8563000000.0,59515000000.0
MCD,2024,25920000000.0,8223000000.0,55182000000.0
MCD,2023,25495000000.0,8469000000.0,56147000000.0
MCD,2022,23182000000.0,6177000000.0,50435600000.0
WMT,2026,713163000000.0,21893000000.0,284668000000.0
WMT,2025,680985000000.0,19436000000.0,260823000000.0
WMT,2024,648125000000.0,15511000000.0,252399000000.0
WMT,2023,611289000000.0,11680000000.0,243197000000.0
WMT,2022,,,
XOM,2025,323905000000.0,28844000000.0,448980000000.0
XOM,2024,339247000000.0,33680000000.0,453475000000.0
XOM,2023,334697000000.0,36010000000.0,376317000000.0
XOM,2022,398675000000.0,55740000000.0,369067000000.0
XOM,2021,,,
VZ,2025,138191000000.0,17174000000.0,404258000000.0
VZ,2024,134788000000.0,17506000000.0,384711000000.0
VZ,2023,133974000000.0,11614000000.0,380255000000.0
VZ,2022,136835000000.0,21256000000.0,379680000000.0
