ticker,year,revenue,net_income,eps,market_cap,total_debt,total_assets,shares_outstanding
AAPL,2015,,,,,,,
AAPL,2016,,,,,,,
AAPL,2017,,,,,,,
AAPL,2018,,,,,,,
AAPL,2019,,,,,,,
AAPL,2020,,,,,,,
AAPL,2021,,,,,,,
AAPL,2022,,,,,,,
AAPL,2023,,,,,,,
AAPL,2024,,,,,,,
AAPL,2025,,,,,,,
JNJ,2015,,,,,,,
JNJ,2016,,,,,,,
JNJ,2017,,,,,,,
JNJ,2018,,,,,,,
JNJ,2019,,,,,,,
JNJ,2020,,,,,,,
JNJ,2021,,,,,,,
JNJ,2022,,,,,,,
JNJ,2023,,,,,,,
JNJ,2024,,,,,,,
JNJ,2025,,,,,,,
KO,2015,,,,,,,
KO,2016,,,,,,,
KO,2017,,,,,,,
KO,2018,,,,,,,
KO,2019,,,,,,,
KO,2020,,,,,,,
KO,2021,,,,,,,
KO,2022,,,,,,,
KO,2023,,,,,,,
KO,2024,,,,,,,
KO,2025,,,,,,,
MCD,2015,,,,,,,
MCD,2016,,,,,,,
MCD,2017,,,,,,,
MCD,2018,,,,,,,
MCD,2019,,,,,,,
MCD,2020,,,,,,,
MCD,2021,,,,,,,
MCD,2022,,,,,,,
MCD,2023,,,,,,,
MCD,2024,,,,,,,
MCD,2025,,,,,,,
MSFT,2015,,,,,,,
MSFT,2016,,,,,,,
MSFT,2017,,,,,,,
MSFT,2018,,,,,,,
MSFT,2019,,,,,,,
MSFT,2020,,,,,,,
MSFT,2021,,,,,,,
MSFT,2022,,,,,,,
MSFT,2023,,,,,,,
MSFT,2024,,,,,,,
MSFT,2025,,,,,,,
PEP,2015,,,,,,,
PEP,2016,,,,,,,
PEP,2017,,,,,,,
PEP,2018,,,,,,,
PEP,2019,,,,,,,
PEP,2020,,,,,,,
PEP,2021,,,,,,,
PEP,2022,,,,,,,
PEP,2023,,,,,,,
PEP,2024,,,,,,,
PEP,2025,,,,,,,
PG,2015,,,,,,,
PG,2016,,,,,,,
PG,2017,,,,,,,
PG,2018,,,,,,,
PG,2019,,,,,,,
PG,2020,,,,,,,
PG,2021,,,,,,,
PG,2022,,,,,,,
PG,2023,,,,,,,
PG,2024,,,,,,,
PG,2025,,,,,,,
VZ,2015,,,,,,,
VZ,2016,,,,,,,
VZ,2017,,,,,,,
VZ,2018,,,,,,,
VZ,2019,,,,,,,
VZ,2020,,,,,,,
VZ,2021,,,,,,,
VZ,2022,,,,,,,
VZ,2023,,,,,,,
VZ,2024,,,,,,,
VZ,2025,,,,,,,
WMT,2015,,,,,,,
WMT,2016,,,,,,,
WMT,2017,,,,,,,
WMT,2018,,,,,,,
WMT,2019,,,,,,,
WMT,2020,,,,,,,
WMT,2021,,,,,,,
WMT,2022,,,,,,,
WMT,2023,,,,,,,
WMT,2024,,,,,,,
WMT,2025,,,,,,,
XOM,2015,,,,,,,
XOM,2016,,,,,,,
XOM,2017,,,,,,,
XOM,2018,,,,,,,
XOM,2019,,,,,,,
XOM,2020,,,,,,,
XOM,2021,,,,,,,
XOM,2022,,,,,,,
XOM,2023,,,,,,,
XOM,2024,,,,,,,
XOM,2025,,,,,,,
